index,alltime,country,id,pollyear,position,artist,track,releaseyear,url,release_date
1637,False,Australia,1638,1999.0,1.0,Powderfinger,These Days,1999.0,https://genius.com/Powderfinger-these-days-lyrics,"[2000, 1, 1]"
1638,False,Australia,1639,1999.0,2.0,Killing Heidi,Weir,1999.0,https://genius.com/Killing-Heidi-weir-lyrics,---
1639,False,Australia,1640,1999.0,3.0,The Tenants,You Shit Me To Tears,1999.0,https://genius.com/The-Tenants-you-shit-me-to-tears-lyrics,---
1640,False,UK,1641,1999.0,4.0,Fatboy Slim,Praise You,1999.0,https://genius.com/Fatboy-Slim-praise-you-lyrics,"[1998, 10, 19]"
1641,False,UK,1642,1999.0,5.0,Placebo,Every You Every Me,1999.0,https://genius.com/Placebo-every-you-every-me-lyrics,"[1998, 10, 12]"
1642,False,USA,1643,1999.0,6.0,Bloodhound Gang,The Bad Touch,1999.0,https://genius.com/Bloodhound-Gang-the-bad-touch-lyrics,"[1999, 5, 31]"
1643,False,USA,1644,1999.0,7.0,Rage Against The Machine,Guerrilla Radio,1999.0,https://genius.com/Rage-Against-The-Machine-guerrilla-radio-lyrics,"[1999, 11, 2]"
1644,False,USA,1645,1999.0,8.0,Limp Bizkit,Nookie,1999.0,https://genius.com/Limp-Bizkit-nookie-lyrics,"[1999, 6, 15]"
1645,False,USA,1646,1999.0,9.0,Pearl Jam,Last Kiss,1999.0,https://genius.com/Pearl-Jam-last-kiss-lyrics,"[1999, 6, 8]"
1646,False,USA,1647,1999.0,10.0,Red Hot Chili Peppers,Scar Tissue,1999.0,https://genius.com/Red-Hot-Chili-Peppers-scar-tissue-lyrics,"[1999, 5, 25]"
1647,False,USA,1648,1999.0,11.0,The Foo Fighters,Learn To Fly,1999.0,The Foo Fighters,---
1648,False,USA,1649,1999.0,12.0,Garbage,When I Grow Up,1999.0,https://genius.com/Garbage-when-i-grow-up-lyrics,"[1999, 1, 25]"
1649,False,Australia,1650,1999.0,14.0,Killing Heidi,Mascara,1999.0,https://genius.com/Killing-Heidi-mascara-lyrics,---
1650,False,USA,1651,1999.0,16.0,Korn,Freak On A Leash,1999.0,https://genius.com/Korn-freak-on-a-leash-lyrics,"[1999, 5, 25]"
1651,False,USA,1652,1999.0,17.0,Korn,Falling Away From Me,1999.0,https://genius.com/Korn-falling-away-from-me-lyrics,"[1999, 11, 16]"
1652,False,Australia,1653,1999.0,18.0,Sonic Animation,Theophilus Thistler (An Exercise In Vowels),1999.0,Sonic Animation,---
1653,False,Australia,1654,1999.0,19.0,Jebediah,Animal,1999.0,https://genius.com/Jebediah-animal-lyrics,---
1654,False,Australia,1655,1999.0,20.0,Rhubarb,Exerciser,1999.0,https://genius.com/Rhubarb-exerciser-lyrics,---
1655,False,Australia,1656,1999.0,21.0,Alex Lloyd,Lucky Star,1999.0,https://genius.com/Alex-Lloyd-lucky-star-lyrics,---
1656,False,UK,1657,1999.0,23.0,Fatboy Slim,"Right Here, Right Now",1999.0,https://genius.com/Fatboy-Slim-right-here-right-now-lyrics,"[1998, 10, 19]"
1657,False,USA,1658,1999.0,24.0,Macy Gray,I Try,1999.0,https://genius.com/Macy-Gray-i-try-lyrics,"[1999, 9, 27]"
1658,False,Australia,1659,1999.0,25.0,Powderfinger,Already Gone,1999.0,https://genius.com/Powderfinger-already-gone-lyrics,---
1659,False,Australia,1660,1999.0,26.0,Frenzal Rhomb,Never Had So Much Fun,1999.0,https://genius.com/Frenzal-Rhomb-never-had-so-much-fun-lyrics,---
1660,False,UK,1661,1999.0,27.0,The Chemical Brothers,Hey Boy Hey Girl,1999.0,https://genius.com/The-Chemical-Brothers-hey-boy-hey-girl-lyrics,"[1999, 5, 31]"
1661,False,Australia,1662,1999.0,28.0,Jebediah,Feet Touch the Ground,1999.0,https://genius.com/Jebediah-feet-touch-the-ground-lyrics,---
1662,False,Australia,1663,1999.0,29.0,Silverchair,Anthem for the Year 2000,1999.0,https://genius.com/Silverchair-anthem-for-the-year-2000-lyrics,"[1999, 2, 23]"
1663,False,Australia,1664,1999.0,30.0,Silverchair,Miss You Love,1999.0,https://genius.com/Silverchair-miss-you-love-lyrics,"[1999, 3, 8]"
1664,False,USA,1665,1999.0,31.0,Blink-182,All the Small Things,1999.0,https://genius.com/Blink-182-all-the-small-things-lyrics,"[2000, 1, 18]"
1665,False,Canada,1666,1999.0,32.0,The Tea Party,Heaven Coming Down,1999.0,https://genius.com/The-Tea-Party-heaven-coming-down-lyrics,---
1666,False,Australia,1667,1999.0,33.0,Grinspoon,Ready 1,1999.0,https://genius.com/Grinspoon-ready-1-lyrics,---
1667,False,Australia,1668,1999.0,34.0,Frenzal Rhomb,You Are Not My Friend,1999.0,https://genius.com/Frenzal-Rhomb-you-are-not-my-friend-lyrics,---
1668,False,Australia,1669,1999.0,35.0,Peter Helliar,Bevan The Musical,1999.0,Peter Helliar,---
1669,False,Australia,1670,1999.0,36.0,Bodyjar,Hazy Shade Of Winter,1999.0,Bodyjar,---
1670,False,USA,1671,1999.0,37.0,Red Hot Chili Peppers,Around The World,1999.0,https://genius.com/Red-Hot-Chili-Peppers-around-the-world-lyrics,"[1999, 9, 14]"
1671,False,Australia,1672,1999.0,38.0,The Whitlams,Chunky Chunky Air Guitar,1999.0,https://genius.com/The-Whitlams-chunky-chunky-air-guitar-lyrics,---
1672,False,Australia,1673,1999.0,39.0,Eskimo Joe,Turn Up Your Stereo,1999.0,https://genius.com/Eskimo-Joe-turn-up-your-stereo-lyrics,---
1673,False,Australia,1674,1999.0,40.0,Spiderbait,Shazam!,1999.0,https://genius.com/Spiderbait-shazam-lyrics,---
1674,False,Australia,1675,1999.0,41.0,The Living End,All Torn Down,1999.0,https://genius.com/The-Living-End-all-torn-down-lyrics,---
1675,False,Australia,1676,1999.0,42.0,Custard,Ringo (I Feel Like),1999.0,https://genius.com/Custard-ringo-i-feel-like-lyrics,---
1676,False,Australia,1677,1999.0,43.0,Silverchair,Emotion Sickness,1999.0,https://genius.com/Silverchair-emotion-sickness-lyrics,"[1999, 3, 8]"
1677,False,Australia,1678,1999.0,44.0,Something For Kate,Electricity,1999.0,https://genius.com/Something-For-Kate-electricity-lyrics,---
1678,False,Australia,1679,1999.0,45.0,Gerling,"Enter, Space Capsule",1999.0,https://genius.com/Gerling-enter-space-capsule-lyrics,---
1679,False,UK,1680,1999.0,46.0,Bush,The Chemicals Between Us,1999.0,https://genius.com/Bush-the-chemicals-between-us-lyrics,"[1999, 9, 14]"
1680,False,UK,1681,1999.0,47.0,Blur,Coffee & TV,1999.0,Blur,---
1681,False,Australia,1682,1999.0,48.0,The Living End,West End Riot,1999.0,https://genius.com/The-Living-End-west-end-riot-lyrics,---
1682,False,Australia,1683,1999.0,49.0,Area-7,Second Class Citizen,1999.0,https://genius.com/Area-7-second-class-citizen-lyrics,---
1683,False,Australia,1684,1999.0,50.0,The Fauves,Bigger Than Tina,1999.0,The Fauves,---
1684,False,USA,1685,1999.0,51.0,Ben Folds Five,Army,1999.0,https://genius.com/Ben-Folds-Five-army-lyrics,---
1685,False,USA,1686,1999.0,53.0,Beck,Sexx Laws,1999.0,https://genius.com/Beck-sexx-laws-lyrics,"[1999, 11, 23]"
1686,False,Australia,1687,1999.0,54.0,The Whitlams,Thank You (For Loving Me at My Worst),1999.0,The Whitlams,---
1687,False,Australia,1688,1999.0,55.0,Diana Ah Naid,Perfect Family,1999.0,https://genius.com/Diana-Ah-Naid-perfect-family-lyrics,---
1688,False,USA,1689,1999.0,56.0,Metallica,No Leaf Clover,1999.0,https://genius.com/Metallica-no-leaf-clover-lyrics,"[1999, 11, 23]"
1689,False,UK,1690,1999.0,57.0,Blur,Tender,1999.0,https://genius.com/Blur-tender-lyrics,"[1999, 2, 22]"
1690,False,Australia,1691,1999.0,58.0,Regurgitator,I Want To Be A Nudist,1999.0,Regurgitator,---
1691,False,Australia,1692,1999.0,59.0,Machine Gun Fellatio,Mutha Fukka On A Motorcycle,1999.0,https://genius.com/Machine-Gun-Fellatio-mutha-fukka-on-a-motorcycle-lyrics,---
1692,False,USA,1693,1999.0,60.0,VAST,Touched,1999.0,https://genius.com/VAST-touched-lyrics,"[1998, 4, 28]"
1693,False,Australia,1694,1999.0,61.0,Augie March,Asleep In Perfection,1999.0,https://genius.com/Augie-March-asleep-in-perfection-lyrics,---
1694,False,Australia,1695,1999.0,62.0,Regurgitator,Happiness (Rotting My Brain),1999.0,Regurgitator,---
1695,False,UK,1696,1999.0,63.0,Jamiroquai,Canned Heat,1999.0,https://genius.com/Jamiroquai-canned-heat-lyrics,"[1999, 5, 24]"
1696,False,USA,1697,1999.0,65.0,Ben Harper,Burn to Shine,1999.0,https://genius.com/Ben-Harper-burn-to-shine-lyrics,---
1697,False,Australia,1698,1999.0,66.0,Testeagles,Turn That Shit Up,1999.0,https://genius.com/Testeagles-turn-that-shit-up-lyrics,---
1698,False,USA,1699,1999.0,67.0,Madonna,Beautiful Stranger,1999.0,https://genius.com/Madonna-beautiful-stranger-lyrics,"[1999, 5, 29]"
1699,False,Australia,1700,1999.0,68.0,Powderfinger,Good-Day Ray,1999.0,https://genius.com/Powderfinger-good-day-ray-lyrics,---
1700,False,USA,1701,1999.0,69.0,Nine Inch Nails,"Starfuckers, Inc.",1999.0,Nine Inch Nails,---
1701,False,Australia,1702,1999.0,70.0,Something For Kate,Whatever You Want,1999.0,https://genius.com/Something-For-Kate-whatever-you-want-lyrics,---
1702,False,New Zealand,1703,1999.0,71.0,The Mutton Birds,Pulled Along By Love,1999.0,https://genius.com/The-Mutton-Birds-pulled-along-by-love-lyrics,---
1703,False,Australia,1704,1999.0,72.0,Something For Kate,Hallways,1999.0,https://genius.com/Something-For-Kate-hallways-lyrics,---
1704,False,UK,1705,1999.0,73.0,Supergrass,Pumping on Your Stereo,1999.0,https://genius.com/Supergrass-pumping-on-your-stereo-lyrics,"[1999, 5, 24]"
1705,False,Australia,1706,1999.0,74.0,Deadstar,Deeper Water,1999.0,https://genius.com/Deadstar-deeper-water-lyrics,---
1706,False,Australia,1707,1999.0,75.0,Friendly,Some Kind Of Love Song,1999.0,https://genius.com/Friendly-some-kind-of-love-song-lyrics,"[1999, 1, 1]"
1707,False,Jamaica,1708,1999.0,77.0,Bob Marley/Funkstar De Luxe,Sun Is Shining,1999.0,Bob Marley/Funkstar De Luxe,---
1708,False,Sweden,1709,1999.0,78.0,The Cardigans,My Favourite Game,1999.0,https://genius.com/The-Cardigans-my-favourite-game-lyrics,"[1998, 10, 1]"
1709,False,UK,1710,1999.0,79.0,Moby,Bodyrock,1999.0,https://genius.com/Moby-bodyrock-lyrics,"[1999, 5, 17]"
1710,False,UK,1711,1999.0,80.0,Moloko,Sing It Back,1999.0,https://genius.com/Moloko-sing-it-back-lyrics,---
1711,False,Australia,1712,1999.0,81.0,Ben Lee,Nothing Much Happens,1999.0,https://genius.com/Ben-Lee-nothing-much-happens-lyrics,---
1712,False,Australia,1713,1999.0,82.0,Skunkhour,Home,1999.0,https://genius.com/Skunkhour-home-lyrics,---
1713,False,Australia,1714,1999.0,83.0,Custard,Hit Song,1999.0,https://genius.com/Custard-hit-song-lyrics,---
1714,False,Australia,1715,1999.0,84.0,Spiderbait,Stevie,1999.0,https://genius.com/Spiderbait-stevie-lyrics,---
1715,False,USA,1716,1999.0,85.0,Ben Harper,Steal My Kisses,1999.0,https://genius.com/Ben-Harper-steal-my-kisses-lyrics,"[2000, 4, 10]"
1716,False,USA,1717,1999.0,86.0,Orgy,Blue Monday,1999.0,https://genius.com/Orgy-blue-monday-lyrics,"[1998, 12, 14]"
1717,False,UK,1718,1999.0,88.0,Moby,Run On,1999.0,https://genius.com/Moby-run-on-lyrics,"[1999, 4, 26]"
1718,False,USA,1719,1999.0,89.0,Green Day,Nice Guys Finish Last,1999.0,https://genius.com/Green-Day-nice-guys-finish-last-lyrics,"[1999, 3, 23]"
1719,False,Germany,1720,1999.0,90.0,Rammstein,Stripped,1999.0,https://genius.com/Rammstein-stripped-lyrics,---
1720,False,USA,1721,1999.0,91.0,Pennywise,Down Under,1999.0,https://genius.com/Pennywise-down-under-lyrics,---
1721,False,USA,1722,1999.0,92.0,Macy Gray,Sex-O-Matic Venus Freak,1999.0,https://genius.com/Macy-Gray-sex-o-matic-venus-freak-lyrics,---
1722,False,USA,1723,1999.0,93.0,Elliott Smith,Waltz #2,1999.0,Elliott Smith,---
1723,False,Australia,1724,1999.0,94.0,Turnstyle,Spray Water On The Stereo,1999.0,Turnstyle,---
1724,False,UK,1725,1999.0,95.0,Public Image Ltd.,The Order Of Death,1999.0,Public Image Ltd.,---
1725,False,Australia,1726,1999.0,96.0,Spiderbait,Plastic,1999.0,https://genius.com/Spiderbait-plastic-lyrics,---
1726,False,USA,1727,1999.0,98.0,Sugar Ray,Every Morning,1999.0,https://genius.com/Sugar-Ray-every-morning-lyrics,"[1999, 1, 2]"
1727,False,Australia,1728,1999.0,99.0,Eskimo Joe,Ruby Wednesday,1999.0,https://genius.com/Eskimo-Joe-ruby-wednesday-lyrics,---
1728,False,Australia,1729,1999.0,100.0,Powderfinger,Passenger,1999.0,https://genius.com/Powderfinger-passenger-lyrics,---
2169,False,USA,2170,1999.0,13.0,Blink-182,What's My Age Again?,1999.0,https://genius.com/Blink-182-whats-my-age-again-lyrics,"[1999, 6, 1]"
2170,False,Australia,2171,1999.0,15.0,Silverchair,Ana's Song (Open Fire),1999.0,https://genius.com/Silverchair-anas-song-open-fire-lyrics,"[1999, 3, 8]"
2171,False,Australia,2172,1999.0,22.0,Madison Avenue,Don't Call Me Baby,1999.0,https://genius.com/Madison-Avenue-dont-call-me-baby-lyrics,"[1999, 10, 1]"
2172,False,Australia,2173,1999.0,52.0,The Cruel Sea,It Won't Last,1999.0,The Cruel Sea,---
2173,False,Australia,2174,1999.0,64.0,Frenzal Rhomb,We're Going Out Tonight,1999.0,https://genius.com/Frenzal-Rhomb-were-going-out-tonight-lyrics,---
2174,False,USA,2175,1999.0,76.0,Everlast,What It's Like,1999.0,https://genius.com/Everlast-what-its-like-lyrics,"[1998, 9, 8]"
2175,False,UK,2176,1999.0,87.0,Placebo,You Don't Care About Us,1999.0,https://genius.com/Placebo-you-dont-care-about-us-lyrics,"[1998, 10, 12]"
2176,False,USA,2177,1999.0,97.0,The Offspring,The Kids Aren't Alright,1999.0,https://genius.com/The-Offspring-the-kids-arent-alright-lyrics,---
