,artist,song_url,track
0,Underworld,https://genius.com/Underworld-born-slippy-nuxx-lyrics,Born Slippy
1,The Fauves,https://genius.com/Fauves-the-dogs-are-the-best-people-lyrics,Dogs Are the Best People
2,The Fauves,https://genius.com/Fauves-the-self-abuser-lyrics,Self Abuser
3,Skin,https://genius.com/Ty-dolla-sign-or-nah-remix-lyrics,Mah Na Mah Na
4,The Eels,https://genius.com/Eels-novocaine-for-the-soul-lyrics,Novocaine for the Soul
5,Tricky/Garbage,https://genius.com/Garbage-milk-lyrics,Milk
6,Nirvana,https://genius.com/Nirvana-aneurysm-live-at-del-mar-fairgrounds-ca-december-28-1991-lyrics,Aneurysm {Muddy Banks of the Wishka live version}
7,Definition of Sound,https://genius.com/Rchris-vibes-lyrics,Pass the Vibes
8,The Presidents of the USA,https://genius.com/The-presidents-of-the-united-states-of-america-mach-5-lyrics,Mach 5
9,Mullen/Clayton,https://genius.com/Adam-clayton-and-larry-mullen-mission-impossible-theme-mission-accomplished-lyrics,Mission Impossible
10,Insurge,XX-,Speculator
11,Hunting Party,https://genius.com/Johnny-kemp-just-got-paid-lyrics,Grooving
12,Snout,https://genius.com/The-palmer-squares-land-of-the-lost-lyrics,Cromagnon Man
13,Barry Adamson,https://genius.com/Barry-adamson-set-the-controls-for-the-heart-of-the-pelvis-lyrics,Set the Controls
14,Frank Bennett,https://genius.com/Stephen-sondheim-send-in-the-clowns-lyrics,Creep
15,AC/DC,https://genius.com/Ac-dc-hail-caesar-lyrics,Hail Caesar
16,Boys Next Door,https://genius.com/The-boys-next-door-shivers-lyrics,Shivers
17,Hunters & Collectors,https://genius.com/Hunters-and-collectors-slab-lyrics,The Slab
18,Clouds,https://genius.com/The-clouds-au-4pm-lyrics,4 PM
19,The Wonder Stuff,https://genius.com/The-wonder-stuff-size-of-a-cow-lyrics,The Size of a Cow
20,Nick Cave & The Bad Seeds,https://genius.com/Nick-cave-and-the-bad-seeds-the-mercy-seat-lyrics,Mercy Seat
21,Salmon Hater,XX-,6.66
22,The Drugs,https://genius.com/Drugs-the-the-bold-and-the-beautiful-lyrics,The Bold and the Beautiful
23,Wilcannia Mob,https://genius.com/The-wilcannia-mob-down-river-lyrics,Down River
24,Jamiroquai,https://genius.com/Jamiroquai-love-foolosophy-lyrics,Love Foolosphy
25,PJ Harvey and Gordon Gano,https://genius.com/Gordon-gano-hitting-the-ground-lyrics,Hitting the Ground
26,JXL vs Elvis Presley,https://genius.com/Elvis-presley-a-little-less-conversation-jxl-radio-edit-remix-lyrics,A Little Less Conversation
27,Eminem,https://genius.com/Eminem-cleanin-out-my-closet-lyrics,Cleaning Out My Closet
28,Dizzee Rascal and Armand Van Helden,https://genius.com/Dizzee-rascal-bonkers-lyrics,Bonkers
29,The Bloody Beetroots,https://genius.com/The-bloody-beetroots-warp-19-lyrics,Warp 1.9 {ft. Steve Aoki}
30,Kid Cudi,https://genius.com/Kid-cudi-pursuit-of-happiness-nightmare-lyrics,Pursuit of Happiness {ft. MGMT & Ratatat}
31,The John Butler Trio,https://genius.com/John-butler-trio-one-way-road-lyrics,One Way Road
32,Simian Mobile Disco,XX-,Audacity of Huge {ft. Chris Keating}
33,The Bloody Beetroots,https://genius.com/The-bloody-beetroots-awesome-lyrics,Awesome {ft. The Cool Kids}
34,MSTRKRFT,https://genius.com/Mstrkrft-heartbreaker-f-john-legend-lyrics,Heartbreaker {ft. John Legend}
35,The John Butler Trio,https://genius.com/John-butler-trio-betterman-lyrics,Betterman
36,AC/DC,https://genius.com/Ac-dc-thunderstruck-lyrics,Thunderstruck
37,Underworld,https://genius.com/Underworld-born-slippy-nuxx-lyrics,Born Slippy .NUXX
