alltime,country,id,pollyear,position,artist,track,releaseyear
False,Australia,1,1996.0,1.0,Spiderbait,Buy Me a Pony,1996
False,USA,2,1996.0,2.0,Tool,Stinkfist,1996
False,USA,3,1996.0,3.0,Ben Folds Five,Underground,1996
False,USA,4,1996.0,4.0,Butthole Surfers,Pepper,1996
False,UK,5,1996.0,5.0,Bush,Glycerine,1996
False,Australia,6,1996.0,6.0,Powderfinger,Pick You Up,1996
False,UK,7,1996.0,7.0,The Prodigy,Breathe,1996
False,USA,8,1996.0,8.0,Allen Ginsberg,Ballad of the Skeletons,1996
False,USA,9,1996.0,9.0,Weezer,El Scorcho,1996
False,USA,10,1996.0,11.0,311,Down,1996
False,UK,11,1996.0,12.0,Underworld,Born Slippy,1996
False,USA,12,1996.0,13.0,The Smashing Pumpkins,1979,1996
False,Australia,13,1996.0,15.0,Regurgitator,Kong Foo Sing,1996
False,UK,14,1996.0,16.0,Babylon Zoo,Spaceman,1996
False,UK,15,1996.0,17.0,The Prodigy,Firestarter,1996
False,Australia,16,1996.0,18.0,Powderfinger,D.A.F.,1996
False,UK,17,1996.0,19.0,Bush,Swallowed,1996
False,Australia,18,1996.0,20.0,The Fauves,Dogs Are the Best People,1996
False,USA,19,1996.0,21.0,Foo Fighters,Down in the Park,1996
False,Ireland,20,1996.0,22.0,Ash,Oh Yeah,1996
False,Australia,21,1996.0,23.0,Regurgitator,I Sucked a Lot of Cock to Get Where I Am,1996
False,USA,22,1996.0,24.0,Everclear,Santa Monica,1996
False,USA,23,1996.0,25.0,No Doubt,Just a Girl,1996
False,UK,24,1996.0,26.0,Chemical Brothers,Setting Sun,1996
False,USA,25,1996.0,27.0,Cake,The Distance,1996
False,USA,26,1996.0,28.0,The Smashing Pumpkins,Zero,1996
False,Australia,27,1996.0,30.0,The Fauves,Self Abuser,1996
False,UK,28,1996.0,31.0,Skin,Mah Na Mah Na,1996
False,Australia,29,1996.0,32.0,Powderfinger,Living Type,1996
False,USA,30,1996.0,33.0,2Pac,California Love,1996
False,USA,31,1996.0,34.0,Tracy Bonham,Mother Mother,1996
False,USA,32,1996.0,35.0,Fugees,Killing Me Softly,1996
False,USA,33,1996.0,36.0,Primitive Radio Gods,Standing Outside a Broken Phone Booth with Money in My Hand,1996
False,UK,34,1996.0,37.0,Jamiroquai,Virtual Insanity,1996
False,UK,35,1996.0,38.0,Bush,Comedown,1996
False,USA,36,1996.0,39.0,The Eels,Novocaine for the Soul,1996
False,UK,37,1996.0,40.0,Tricky/Garbage,Milk,1996
False,USA,38,1996.0,41.0,Geggy Tah,Whoever You Are,1996
False,Australia,39,1996.0,42.0,Fini Scad,Coppertone,1996
False,Ireland,40,1996.0,44.0,The Cranberries,Salvation,1996
False,USA,41,1996.0,45.0,Nirvana,Aneurysm {Muddy Banks of the Wishka live version},1996
False,USA,42,1996.0,46.0,Rage Against the Machine,Bulls on Parade,1996
False,USA,43,1996.0,47.0,Pearl Jam,"Hail, Hail",1996
False,USA,44,1996.0,48.0,Nada Surf,Popular,1996
False,UK,45,1996.0,49.0,Definition of Sound,Pass the Vibes,1996
False,USA,46,1996.0,50.0,The Presidents of the USA,Mach 5,1996
False,USA,47,1996.0,51.0,Garbage,Only Happy When It Rains,1996
False,USA,48,1996.0,52.0,Metallica,Until It Sleeps,1996
False,Iceland,49,1996.0,53.0,Bjork,Hyperballad,1996
False,USA,50,1996.0,55.0,The Smashing Pumpkins,"Tonight, Tonight",1996
False,USA,51,1996.0,58.0,Everclear,Heartspark Dollarsign,1996
False,Australia,52,1996.0,59.0,Tumbleweed,Silver Lizard,1996
False,UK,53,1996.0,60.0,Kula Shaker,Hey Dude,1996
False,USA,54,1996.0,62.0,Metallica,Hero of the Day,1996
False,USA,55,1996.0,63.0,Bad Religion,Punk Rock Song,1996
False,Benin,56,1996.0,64.0,Angelique Kidjo,Wombo Lombo,1996
False,USA,57,1996.0,65.0,Goldfinger,Here in Your Bedroom,1996
False,Australia,58,1996.0,67.0,Crowded House,Everything Is Good for You,1996
False,Ireland,59,1996.0,68.0,Mullen/Clayton,Mission Impossible,1996
False,Australia,60,1996.0,69.0,Insurge,Speculator,1996
False,UK,61,1996.0,71.0,Pulp,Disco 2000,1996
False,Australia,62,1996.0,72.0,Frenzal Rhomb,Punch in the Face,1996
False,USA,63,1996.0,73.0,Hole,Gold Dust Woman,1996
False,USA,64,1996.0,74.0,Ministry,Lay Lady Lay,1996
False,UK,65,1996.0,76.0,Spacehog,In the Meantime,1996
False,USA,66,1996.0,77.0,Soundgarden,Burden in My Hand,1996
False,New Zealand,67,1996.0,78.0,OMC,How Bizarre,1996
False,Australia,68,1996.0,79.0,The Whitlams,I Make Hamburgers,1996
False,Australia,69,1996.0,80.0,You Am I,Soldiers,1996
False,Australia,70,1996.0,81.0,The Superjesus,Shut My Eyes,1996
False,USA,71,1996.0,82.0,Luscious Jackson,Naked Eye,1996
False,Australia,72,1996.0,83.0,Hoodoo Gurus,Waking Up Tired,1996
False,UK,73,1996.0,85.0,Ash,Goldfinger,1996
False,Sweden,74,1996.0,86.0,Neneh Cherry,Woman,1996
False,USA,75,1996.0,87.0,R.E.M.,E-Bow the Letter,1996
False,Australia,76,1996.0,88.0,Hunting Party,Grooving,1996
False,Australia,77,1996.0,89.0,Snout,Cromagnon Man,1996
False,USA,78,1996.0,90.0,Pearl Jam,Leaving Here,1996
False,UK,79,1996.0,91.0,Barry Adamson,Set the Controls,1996
False,UK,80,1996.0,93.0,Skunk Anansie,All I Want,1996
False,USA,81,1996.0,94.0,Pearl Jam,Mankind,1996
False,Australia,82,1996.0,95.0,Frank Bennett,Creep,1996
False,Australia,83,1996.0,97.0,AC/DC,Hail Caesar,1996
False,USA,84,1996.0,98.0,Tori Amos,Professional Widow,1996
False,UK,85,1996.0,99.0,Republica,Ready to Go,1996
False,USA,86,1996.0,100.0,Ben Harper,Gold to Me,1996
True,USA,87,1991.0,1.0,Nirvana,Smells Like Teen Spirit,1991
True,UK,88,1991.0,2.0,Joy Division,Love Will Tear Us Apart,1979
True,USA,89,1991.0,3.0,Nirvana,Lithium,1991
True,Australia,90,1991.0,4.0,Hunters & Collectors,Throw Your Arms Around Me,1985
True,USA,91,1991.0,5.0,Andy Prieboy,Tomorrow Wendy,1990
True,UK,92,1991.0,6.0,The Smiths,How Soon Is Now?,1984
True,UK,93,1991.0,7.0,The Stone Roses,Fools Gold,1989
True,UK,94,1991.0,8.0,The Cure,A Forest,1980
True,USA,95,1991.0,9.0,Violent Femmes,Blister In The Sun,1982
True,UK,96,1991.0,10.0,New Order,Blue Monday,1983
True,UK,97,1991.0,11.0,The Cure,Just Like Heaven,1987
True,UK,98,1991.0,13.0,The The,Uncertain Smile,1983
True,Australia,99,1991.0,14.0,Nick Cave & The Bad Seeds,The Ship Song,1990
True,UK,100,1991.0,16.0,The Cult,She Sells Sanctuary,1985
True,USA,101,1991.0,18.0,Violent Femmes,Add It Up,1982
True,UK,102,1991.0,19.0,Kate Bush,Wuthering Heights,1978
True,Australia,103,1991.0,20.0,Falling Joys,Lock It,1990
True,USA,104,1991.0,21.0,Violent Femmes,Kiss Off,1983
True,UK,105,1991.0,22.0,Billy Bragg,Sexuality,1991
True,UK,106,1991.0,24.0,New Order,Bizarre Love Triangle,1986
True,UK,107,1991.0,25.0,Sex Pistols,Anarchy in the U.K.,1976
True,USA,108,1991.0,26.0,Dead Kennedys,Holiday in Cambodia,1980
True,USA,109,1991.0,28.0,Pixies,Debaser,1989
True,UK,110,1991.0,29.0,The Smiths,This Charming Man,1983
True,UK,111,1991.0,30.0,Led Zeppelin,Stairway to Heaven,1971
True,Australia,112,1991.0,31.0,The Church,Under the Milky Way,1988
True,USA,113,1991.0,32.0,R.E.M.,Losing My Religion,1991
True,Australia,114,1991.0,33.0,Clouds,Hieronymus,1991
True,Australia,115,1991.0,34.0,Died Pretty,DC,1991
True,UK,116,1991.0,35.0,The Cure,Primary,1981
True,UK,117,1991.0,36.0,The Smiths,There Is a Light That Never Goes Out,1986
True,UK,118,1991.0,37.0,The Cure,Close to Me,1985
True,Australia,119,1991.0,38.0,Boys Next Door,Shivers,1978
True,USA,120,1991.0,39.0,Red Hot Chili Peppers,Give It Away,1991
True,USA,121,1991.0,40.0,R.E.M.,The One I Love,1987
True,UK,122,1991.0,44.0,The Cure,Lullaby,1989
True,Australia,123,1991.0,45.0,Hunters & Collectors,Talking to a Stranger,1982
True,USA,124,1991.0,46.0,They Might Be Giants,Birdhouse in Your Soul,1990
True,Australia,125,1991.0,47.0,Radio Birdman,Aloha Steve and Danno,1978
True,UK,126,1991.0,48.0,The Cure,In Between Days,1985
True,UK,127,1991.0,49.0,Queen,Bohemian Rhapsody,1975
True,UK,128,1991.0,50.0,This Mortal Coil,Song to the Siren,1983
True,Australia,129,1991.0,51.0,Tall Tales and True,Trust,1989
True,Australia,130,1991.0,52.0,The Triffids,Wide Open Road,1986
True,Australia,131,1991.0,53.0,Hunters & Collectors,The Slab,1984
True,UK,132,1991.0,54.0,Soft Cell,Tainted Love,1981
True,UK,133,1991.0,55.0,New Order,True Faith,1987
True,USA,134,1991.0,56.0,Sonic Youth,Kool Thing,1990
True,UK,135,1991.0,57.0,Billy Bragg,Waiting for the Great Leap Forward,1988
True,UK,136,1991.0,58.0,Pink Floyd,Wish You Were Here,1975
True,USA,137,1991.0,59.0,The Doors,The End,1967
True,USA,138,1991.0,60.0,Metallica,Enter Sandman,1991
True,USA,139,1991.0,61.0,The Jimi Hendrix Experience,All Along the Watchtower,1968
True,USA,140,1991.0,62.0,R.E.M.,Orange Crush,1988
True,USA,141,1991.0,63.0,Metallica,The Unforgiven,1991
True,UK,142,1991.0,64.0,Massive Attack,Unfinished Sympathy,1991
True,USA,143,1991.0,65.0,R.E.M.,Fall On Me,1986
True,New Zealand,144,1991.0,66.0,Straitjacket Fits,Down in Splendour,1990
True,Australia,145,1991.0,67.0,Clouds,4 PM,1991
True,UK,146,1991.0,68.0,The Cure,Pictures of You,1989
True,Australia,147,1991.0,69.0,Frente!,Labour of Love,1991
True,Australia,148,1991.0,70.0,The Church,The Unguarded Moment,1981
True,UK,149,1991.0,72.0,The Smiths,Bigmouth Strikes Again,1986
True,UK,150,1991.0,73.0,Pink Floyd,Comfortably Numb,1979
True,UK,151,1991.0,74.0,The Cure,The Lovecats,1983
