Year,Position,Artist,Song
1993,1,Denis Leary,Asshole
1993,2,Radiohead,Creep
1993,3,The Cranberries,Linger
1993,4,Blind Melon,No Rain
1993,5,The Breeders,Cannonball
1993,6,Rage Against the Machine,Killing in the Name
1993,7,U2,Lemon
1993,8,Pearl Jam,Go
1993,9,The Cruel Sea,The Honeymoon Is Over
1993,10,Atomic Swing,Stone Me into the Groove
1993,11,R.E.M.,Everybody Hurts
1993,12,Stone Temple Pilots,Plush
1993,13,Red Hot Chili Peppers,Soul to Squeeze
1993,14,Violent Femmes,I Held Her in My Arms
1993,15,Iggy Pop,Wild America
1993,16,Urge Overkill,Sister Havana
1993,17,Cypress Hill,Hits From the Bong
1993,18,Pet Shop Boys,Go West
1993,19,Neneh Cherry & Michael Stipe,Trout
1993,20,Nirvana,Heart-Shaped Box
1993,21,The Cruel Sea,Black Stick
1993,22,Nick Cave & The Bad Seeds,The Ship Song
1993,23,Bjork,Human Behaviour
1993,24,4 Non Blondes,What's Up?
1993,25,Belly,Feed the Tree
1993,26,Efua,Somewhere
1993,27,Tool,Sober
1993,28,Lenny Kravitz,Are You Gonna Go My Way
1993,29,Ace of Base,All That She Wants
1993,30,k.d. lang,Constant Craving
1993,31,U2,Numb
1993,32,Paw,Jessie
1993,33,Porno for Pyros,Pets
1993,34,US3,Cantaloop
1993,35,Salt-N-Pepa,Shoop
1993,36,Hoodoo Gurus,The Right Time
1993,37,Juliana Hatfield,My Sister
1993,38,Dinosaur Jr.,Get Me
1993,39,The Cure,Friday I'm in Love
1993,40,Ween,Push th' Little Daisies
1993,41,Yothu Yindi,World Turning
1993,42,Gabrielle,Dreams
1993,43,The Smashing Pumpkins,Cherub Rock
1993,44,Headless Chickens,Juice
1993,45,Dinosaur Jr.,Start Choppin
1993,46,King Missile,Detachable Penis
1993,47,Chaka Demus & Pliers,Tease Me
1993,48,Dave Graney 'n' the Coral Snakes,Night of the Wolverine
1993,49,Living Colour,Bi
1993,50,You Am I,Adam's Ribs
1993,51,Alice in Chains,Would?
1993,52,Soul Asylum,Runaway Train
1993,53,Buffalo Tom,Taillights Fade
1993,54,Hunters and Collectors,Holy Grail
1993,55,Deborah Conway,Alive and Brilliant
1993,56,Pet Shop Boys,Can You Forgive Her?
1993,57,Headless Chickens,Choppers
1993,58,King Missile,Jesus Was Way Cool
1993,59,Dave Graney 'n' the Coral Snakes,You're Just too Hip Baby
1993,60,Crowded House,Distant Sun
1993,61,Christine Anu & Paul Kelly,Last Train
1993,62,Faith No More,Easy
1993,63,The Sharp,Scratch My Back
1993,64,Screaming Trees,Nearly Lost You
1993,65,New Order,Regret
1993,66,Utah Saints,Something Good
1993,67,Apache Indian,Boom Shack-A-Lak
1993,68,Culture Beat,Mr Vain
1993,69,Suede,Animal Nitrate
1993,70,Ed Kuepper,Sleepy Head
1993,71,Living Colour,Nothingness {Remix}
1993,72,Barefoot,Baby
1993,73,Arrested Development,Mr. Wendal
1993,74,Sub Sub,Ain't No Love (Ain't No Use)
1993,75,Suede,The Drowners
1993,76,Caligula,Before
1993,77,The Badloves,Lost
1993,78,East 17,Deep
1993,79,The Lemonheads,Mrs. Robinson
1993,80,Alice in Chains,Rooster
1993,81,Cypress Hill,Insane in the Brain
1993,82,The Badloves,Green Limousine
1993,83,Underground Lovers,Your Eyes {Remix}
1993,84,Rage Against the Machine,Bullet in the Head
1993,85,Green Jelly,Three Little Pigs
1993,86,New Order,World (The Price of Love)
1993,87,Swoop,Do It
1993,88,Grant Lee Buffalo,Dixie Drug Store
1993,89,Mixed Relations,Aboriginal Woman
1993,90,Blur,For Tomorrow
1993,91,Things of Stone and Wood,Happy Birthday Helen
1993,92,Depeche Mode,I Feel You
1993,93,R.E.M.,Man on the Moon
1993,94,Inner Circle,Sweat (A La La La La Long)
1993,95,The Cruel Sea,Delivery Man
1993,96,"10,000 Maniacs",Candy Everybody Wants
1993,97,Kate Bush,Rubberband Girl
1993,98,Kev Carmody,Freedom
1993,99,The Shamen,Ebeneezer Goode
1993,100,Van Morrison & John Lee Hooker,Gloria
1994,1,The Cranberries,Zombie
1994,2,Nine Inch Nails,Closer
1994,3,The Offspring,Self Esteem
1994,4,The Offspring,Come Out & Play
1994,5,Silverchair,Tomorrow
1994,6,Veruca Salt,Seether
1994,7,Nirvana,About a Girl
1994,8,Max Sharam,Coma
1994,9,Tom Jones,If I Only Knew
1994,10,Severed Heads,Dead Eyes Opened {1994 Remix}
1994,11,Nick Cave & The Bad Seeds,Do You Love Me?
1994,12,James,Laid
1994,13,Bomb The Bass,Bug Powder Dust
1994,14,The Cruel Sea,Better Get A Lawyer
1994,15,Sheryl Crow,All I Wanna Do
1994,16,Beastie Boys,Sabotage
1994,17,Stone Temple Pilots,Interstate Love Song
1994,18,Green Day,Longview
1994,19,Underground Lovers,Losin' It
1994,20,Nick Barker,Time Bomb
1994,21,Itch-E and Scratch-E,Sweetness & Light
1994,22,Soundgarden,Black Hole Sun
1994,23,You Am I,Berlin Chair
1994,24,Green Day,Basket Case
1994,25,Smashing Pumpkins,Today
1994,26,Youssou N'dour & Neneh Cherry,7 Seconds
1994,27,Live,I Alone
1994,28,Hole,Doll Parts
1994,29,Beck,Beercan
1994,30,Kylie Minogue,Confide in Me
1994,31,Single Gun Theory,Fall
1994,32,Mazzy Star,Fade into You
1994,33,Liz Phair,Supernova
1994,34,Hole,Miss World
1994,35,Tori Amos,Cornflake Girl
1994,36,Pearl Jam,Spin the Black Circle
1994,37,The Prodigy,Voodoo People
1994,38,Rebecca's Empire,Atomic Electric
